location,size,total_sqft,bath
Kaggadasapura,3,1250,2
Akshaya Nagar,3,1551,2
Kengeri,1,416,1
Hosahalli Extension,3,2000,3
Mallasandra,2,1340,2
Sarjapur  Road,2,1155,2
Kasavanhalli,2,1100,2
Silk Board,2,1020,2
Electronic City,4,1200,4
Kothanur,3,1454,3
Hebbal,3,3520,3
Indira Nagar,2,1260,2
Ganesha Block,3,1810,3
Yelahanka,3,1890,4
Subramanyapura,3,1800,3
Srinivasa Nagar,4,1500,4
JP Nagar,3,1850,3
Ulsoor,4,3500,4
8th Phase JP Nagar,2,1062,2
Seetharampalya,3,1360,2
Sarjapur  Road,3,1826,3
Sarjapur  Road,2,1150,2
BCC Layout,4,1500,5
Akshaya Vana,3,1260,2
Kengeri Satellite Town,2,1072,2
B Narayanapura,3,1405,2
Kodihalli,3,2500,4
Bisuvanahalli,3,1075,2
Sarjapur  Road,2,1112,2
Kanakpura Road,3,1530,
Bendiganahalli,3,1200,3
NGR Layout,2,1020,2
Marathahalli,4,2396,4
Jagajyothi layout,2,1250,2
Varthur Road,2,1277,2
Amblipura,4,2950,4
Rajiv Gandhi Nagar,2,1293,2
Kanakpura Road,2,1204,2
Hosur Road,3,1590,2
Hegde Nagar,3,2112.95,4
Indira Nagar,3,1700,3
Venugopal Reddy Layout,3,1545,3
Narayanappa Layout,5,950,5
NRI Layout,3,1731,3
Chandapura,3,1190,2
Haralur Road,3,1810,3
Kanakpura Road,3,1703,3
Jigani,2,937,2
BTM 2nd Stage,2,1000,2
Subramanyanagar,8,1320,6
Ramanjaneyanagar,2,1040,2
Sarjapur  Road,2,1311,2
Gollarapalya Hosahalli,2,861,2
Vidyaranyapura,2,1100,2
Harlur,3,1749,3
Sarjapura - Attibele Road,3,1676,3
Marathahalli,2,1050,2
Sarakki Nagar,3,2663,4
TC Palaya,2,1100,2
Hoodi,2,1026,2
BEML Layout,2,999,2
Jakkur,2,1050,2
Mysore Road,3,1410,2
Thanisandra,3,1241,2
KR Puram,3,1452,3
Whitefield,2,1315,2
Chandapura,2,800,1
Green Glen Layout,3,1715,3
Marathahalli,2,957,2
Ardendale,3,2500,3
Talaghattapura,2,1100,2
Sathya Sai Layout,4,6652,6
Raja Rajeshwari Nagar,2,1255,2
Bannerghatta Road,2,1200,2
B Channasandra,2,1300,2
Talaghattapura,3,1800,3
Gunjur,3,1600,3
Bisuvanahalli,3,1075,2
Jakkur,3,1950,3
Sarjapur  Road,3,1457,3
Yelachenahalli,3,1700,3
Whitefield,4,2403,4
Yeshwanthpur,2,1164,2
Bannerghatta Road,3,1476,3
BEML Layout,3,2000,3
Margondanahalli,4,1360,2
Yelahanka,2,1076,2
Electronic City Phase II,2,900,2
Brooke Bond First Cross,2,1252,2
2nd Stage Nagarbhavi,4,1200,4
Akshaya Nagar,3,1690,3
Kaverappa Layout,2,1265,2
Budigere,1,764,1
Bharathi Nagar,2,1349,2
Kyalasanahalli,3,1200,3
Sompura,3,1275,3
Pai Layout,6,3800,6
Kamakya Layout,4,2400,3
Bharathi Nagar,2,1432,2
Kaval Byrasandra,2,1060,2
Sarjapur,3,2690,3
Banashankari Stage V,2,920,2
T K Reddy Layout,3,1616,3
2nd Phase JP Nagar,2,1040,2
7th Phase JP Nagar,3,1850,3
Bellandur,2,1150,2
Yeshwanthpur,3,1383,2
Haralur Road,3,1810,3
Kumara Park,3,2000,3
Kanakapura,2,1160,2
Whitefield,3,1500,3
Muthurayya Swamy Layout,3,2405,4
Sarjapur  Road,2,984,2
Coconut Grove Layout,2,1156,2
Sarjapur  Road,2,1290,2
1 Immadihalli,11,6000,12
Bannerghatta Road,4,1380,3
Whitefield,4,4348.5,
7th Phase JP Nagar,3,1400,2
Electronics City Phase 1,1,360,1
Sathya Sai Layout,4,4104,4
Chandapura,1,645,1
Kaggadasapura,2,1118,2
Devanahalli,3,1282,2
Hennur Road,3,1976,3
Prithvi Layout,2,1352,2
Old Madras Road,3,2990,5
Thyagaraja Nagar,7,3000,6
Gollahalli,2,1170,2
8th Phase JP Nagar,2,909,2
Chinnapanahalli,2,1020,2
Kalyan nagar,2,1190,2
Jigani,2,939,2
Abbigere,2,995,2
Chikka Tirupathi,5,3356,5
Agrahara Dasarahalli,1,800,1
Kodichikkanahalli,2,900,2
Bethel Nagar,3,1092,3
Begur Road,3,1410,2
Suragajakkanahalli,3,1200,3
Rachenahalli,3,1756,3
Raja Rajeshwari Nagar,2,1267,2
Doddabanahalli,2,800,2
Byatarayanapura,1,1300,1
Gnana Bharathi,6,3600,6
Vignana Nagar,4,1050,4
Vijayanagar,3,1527,3
Kenchenhalli,4,1350,4
Rachenahalli,2,985,2
Kumara Park,2,1200,2
Padmanabhanagar,4,3000,4
Udayapur Village,3,1440,2
Magadi Road,2,1116,2
Vijayanagar,2,989,2
Kalena Agrahara,3,1837,2
Hegde Nagar,3,1835,3
B K Nagar,6,2400,5
Kanakpura Road,2,700,2
Daadys Gaarden Layout,3,1600,3
HMT Layout,3,1385,3
Kashi Nagar,4,1600,4
7th Phase JP Nagar,2,1370,2
Thanisandra,3,1996,4
Electronic City Phase II,3,1400,2
Kalyan nagar,2,820,2
1st Block HBR Layout,1,600,1
Gubbalala,5,2570,4
Kudlu,2,1076,2
Thanisandra,3,1965,4
Jalahalli East,3,1300,2
Thigalarapalya,4,3122,5
Kanakpura Road,3,1223,2
Hennur,2,1100,2
1st Block BEL Layout,4,1800,5
Hosakerehalli,4,3205,4
Kudlu,2,1027,2
Marathahalli,3,1305,2
Banashankari,3,1426,3
Yelahanka,3,2145,3
Channasandra,2,1115,2
Benson Town,2,1567,3
Judicial Layout,4,1500,3
Brookefield,2,1139,2
Kengeri,1,416,1
Chelekare,2,1250,2
Chandapura,3,1305,3
Ambedkar Nagar,3,2395,4
Yelahanka,3,1614,3
Begur Road,4,2462,4
Madavara,2,1000,2
Ramamurthy Nagar,2,700,2
CV Raman Nagar,3,1480,3
Akshaya Nagar,2,1100,2
Vidyaranyapura,2,1200,2
Doddagubbi,2,1250,2
Hulimavu,2,935,2
Sarjapur  Road,2,984,2
Thanisandra,3,1694,3
Sarjapur  Road,3,2100,3
Banashankari,2,1310,2
Hoodi,2,1425,2
Electronic City,2,770,1
Hormavu,2,980,2
Byrasandra,3,1390,2
Kaggadasapura,2,1000,2
Kasavanhalli,3,1260,2
Electronics City Phase 1,1,635,1
Bharathi Nagar,2,1300,2
Koramangala,2,1900,2
Kaggalipura,2,950,2
3rd Block HBR Layout,3,2000,3
Kadabagere,2,565,2
Old Madras Road,3,1425,2
Whitefield,2,1355,2
Abbigere,2,985,2
Ambedkar Colony,2,1468,3
EPIP Zone,2,1343,2
Jalahalli West,2,745,2
Sarjapur  Road,2,1130,2
7th Phase JP Nagar,3,1680,3
Bhoganhalli,4,2171,4
Varthur,2,1738,2
Binny Pete,3,1970,3
Electronics City Phase 1,2,995,2
Belathur,2,1050,2
Old Madras Road,4,3900,4
Nagasandra,4,1310,3
Rajaji Nagar,6,3000,6
8th Phase JP Nagar,1,500,1
Yelenahalli,2,1240,2
Volagerekallahalli,2,1095,2
Bannerghatta Road,3,1920,3
3rd Block Banashankari,4,1700,2
Hebbal,3,1430,3
Benson Town,3,2850,4
CV Raman Nagar,2,1020,2
Sector 7 HSR Layout,2,1163,2
Gokula Extension,3,1400,3
Kanakapura,3,1290,2
Thanisandra,2,1245,2
Kada Agrahara,2,935,2
Sarjapur  Road,4,5400,4
Singasandra,2,1416,2
Bannerghatta Road,3,1527,3
Koramangala,3,1900,3
Bellandur,3,1830,3
Whitefield,3,2134,4
Kasavanhalli,3,2111,4
Gunjur,3,2132,3
Marathahalli,3,1108,2
Hoodi,2,1108,2
Whitefield,2,1063,2
Channasandra,2,3040,2
TC Palaya,6,1000,6
Whitefield,2,1130,2
KR Puram,2,1200,2
Hosur Road,2,1656,2
Mysore Road,3,1568,2
Jakkur,2,1290,2
Uttarahalli,3,1385,2
9th Phase JP Nagar,7,1200,6
Nelamangala,4,2600,3
Hennur Road,2,1460,2
Whitefield,2,1280,2
Vittasandra,2,1404,2
Thanisandra,2,1220,2
Kasavanhalli,3,1915,3
HRBR Layout,3,1200,3
3rd Block Jayanagar,3,2150,3
Doddanakundi Industrial Area 2,2,1194,2
Gkvk Layout,3,1350,3
Somasundara Palya,3,1275,2
Electronic City,3,1563,3
EPIP Zone,3,2350,4
7th Phase JP Nagar,3,1650,3
Ramamurthy Nagar,3,1410,2
Kaggadasapura,3,1540,3
KR Puram,2,1100,2
Raja Rajeshwari Nagara,3,1537,3
Malleshpalya,2,1060,2
Pai Layout,2,1175,2
Hormavu,4,3500,4
Koramangala,2,1320,2
Ambedkar Nagar,3,1950,4
Hulimavu,2,850,1
Dollars Colony,4,4350,8
Indira Nagar,3,1650,3
Kodichikkanahalli,5,2700,7
Dodsworth Layout,2,1340,2
Old Airport Road,4,2658,5
Marsur,3,1200,3
Garudachar Palya,2,1060,2
Babusapalaya,2,1061,2
Marathahalli,3,1710,3
Mylasandra,2,1110,2
Kannamangala,3,1574,3
manyata,2,1169,2
Sahakara Nagar,3,1200,2
Nagarbhavi,3,1200,3
Raja Rajeshwari Nagar,9,3125,9
Dasanapura,2,1163,2
HSR Layout,3,1600,2
Electronic City,2,1020,2
Whitefield,3,1200,3
Outer Ring Road East,3,3664,3
Hebbal,3,1900,3
Tumkur Road,3,1441,2
Hennur Road,2,987,2
Ardendale,4,3198,4
Mallasandra,3,1665,3
Sector 2 HSR Layout,2,1146,2
Basavangudi,2,1100,2
Old Madras Road,3,1350,3
Budigere,2,1153,2
Kanakpura Road,3,1592,3
Shirdi Sai Layout,4,1200,3
A Narayanapura,1,600,2
Yelahanka,2,1322,2
Whitefield,3,1485,3
Kaikondrahalli,2,1300,2
Whitefield,1,905,1
JP Nagar,3,3860,3
Basavangudi,6,1214,3
Electronic City,2,1070,2
"ECC Road, Whitefield, ",3,1575,3
Thippasandra,4,1200,4
Hennur,2,1225,2
Whitefield,2,1125,2
Yarandahalli,2,1015,2
5th Phase JP Nagar,2,1200,2
Silk Board,3,1250,3
Haralur Road,2,1000,2
Hebbal,3,1645,3
Ramagondanahalli,2,1151,2
Haralur Road,2,1240,2
Banashankari Stage II,2,1245,2
Kannamangala,2,957,2
Chandra Layout,3,700,3
Jalahalli,3,1870,3
Madiwala,1,400,1
Bhuvaneswari Nagar,4,2400,3
Basaveshwara Nagar,5,2520,4
Marathahalli,2,1125,2
Nagarbhavi,2,1145,2
Dasarahalli,3,1520,2
Outer Ring Road East,3,1500,2
Kaikondrahalli,3,1605,3
Naganathapura,2,2260,3
Singapura Village,2,970,2
Thanisandra,1,760,1
Hebbal,3,1255,3
Electronic City,2,919,2
Thanisandra,2,1185,2
Stage-4 Bommanahalli,3,2300,2
Devanahalli,3,1200,3
R.T. Nagar,6,1500,6
Haralur Road,2,1194,2
Hebbal,3,1355,3
Brooke Bond First Cross,3,1721,3
Devi Nagar,3,2000,3
Yeshwanthpur,1,400,1
Banashankari,3,1350,2
Whitefield,2,1140,2
Kambipura,2,883,2
Kamakshipalya,4,800,4
Horamavu Agara,3,1623,3
Marathahalli,2,1270,2
HBR Layout,3,1700,3
Ankappa Layout,3,1425,2
Ramamurthy Nagar,1,540,1
Basavanna Nagar,3,1645,3
Talaghattapura,2,951,2
Jigani,2,918,2
Whitefield,4,2990,3
Nandi Durga Road,2,2015,4
Babusapalaya,2,1245,2
Chikkabanavar,3,1320,2
Virupakshapura,2,1075,2
Marathahalli,4,4000,4
Sadaramangala,2,1260,2
Anekal,3,1150,3
HOSUR MAIN ROAD,3,1393,3
Old Madras Road,2,1165,2
Geddalahalli,2,850,2
Banashankari,3,2582,5
Dodda Nekkundi,3,2400,4
Venkatapura,3,2700,2
Sidedahalli,2,900,2
Sarjapur  Road,4,1240,4
Kengeri,3,1245,2
Whitefield,3,1896,3
Sarakki Nagar,3,2500,4
Richmond Town,3,2200,3
Hoodi,3,1660,3
JP Nagar,2,1157,2
Banashankari Stage III,4,2400,4
Sahakara Nagar,3,1655,3
2nd Block Koramangala,3,3000,3
Bellandur,2,1260,2
2nd Stage Nagarbhavi,5,1200,4
Mahadevpura,3,1400,2
Sarvobhogam Nagar,3,1490,3
Kathriguppe,3,1350,2
Hosa Road,2,880,2
Yelahanka,1,827.5,1
Horamavu Agara,2,1145,2
Dasarahalli,2,1375,2
OMBR Layout,3,1730,3
Whitefield,3,3758,3
Devanahalli,4,5000,4
Garudachar Palya,3,1610,2
Whitefield,2,1340,2
Electronics City Phase 1,3,1350,3
Abbigere,2,985,2
Whitefield,4,60,4
Tunganagara,1,600,1
Gottigere,3,1425,2
Old Madras Road,4,3630,6
Poorna Pragna Layout,3,1270,2
1st Phase JP Nagar,2,1394,2
Canara Bank Layout,4,1200,4
Mysore Road,3,1512,2
Jakkur,3,1660,3
Basaveshwara Nagar Yelahanka,3,3210,4
Horamavu Agara,2,1079,2
7th Phase JP Nagar,3,1680,2
KR Puram,2,1021,2
Hennur Road,3,1192,2
Kothannur,2,820,2
Ambalipura,1,770,1
Electronic City Phase II,2,1065,2
Whitefield,3,1405,3
ITI Layout,3,1533,3
Electronic City,3,1620,3
 ittamadu,3,600,2
Shivaji Nagar,7,1400,6
Uttarahalli,3,1200,3
Singasandra,3,1464,3
Akshaya Nagar,3,1700,3
7th Phase JP Nagar,1,500,1
Hoodi,2,1111,2
Kothannur,2,1197,2
Bommasandra,2,1060,2
Hoodi,2,1400,2
Kaggadasapura,2,775,2
Brookefield,2,1588,2
KR Puram,4,1200,4
Vidyaranyapura,4,2400,5
Vidyaranyapura,3,462,3
Harappanahalli,4,4560,5
Uttarahalli,5,400,5
TC Palaya,2,900,2
Domlur,2,1276,2
Sultan Palaya,6,1800,8
Kurubarahalli,1,1200,1
Kudlu,3,1293,2
Hebbal,2,1175,2
T c palya,3,1500,2
Tumkur Road,2,1098,2
Kasavanhalli,3,1545,3
Kadugodi,3,1890,4
Thanisandra,2,1140,2
Electronic City,3,1600,3
Sarjapur  Road,2,1262,2
Chandapura,4,4800,4
Sarjapur  Road,4,2425,5
Bannerghatta,3,1776,3
Sampangi Rama Nagar,8,600,4
Hebbal,2,1420,2
HAL 2nd Stage,2,1226,3
Mango Garden Layout,3,1824,3
Bannerghatta Road,3,1200,2
Kengeri,1,540,1
Marathahalli,2,1602,2
Thanisandra,2,1039,2
Haralur Road,4,2805,5
Nagasandra,7,1750,5
Uttarahalli,2,1137,2
Nanjappa Layout,2,1232,2
Subramanyapura,2,958,2
Begur Road,2,1170,2
Haralur Road,2,1194,2
Bannerghatta Road,2,1218,2
Kothanur,3,1847,3
Bannerghatta Road,2,1255,2
Kanakpura Road,2,1140,2
Bannerghatta Road,3,1450,3
Raja Rajeshwari Nagar,2,1419,2
Sector 6 HSR Layout,6,2400,5
Jakkur,3,1798,3
Banashankari Stage II,2,500,2
Electronics City Phase 1,3,1445,2
Vinayak Nagar,3,1758,3
R.T. Nagar,7,600,7
Hoodi,3,1715,2
Hebbal,4,2470,5
Yelahanka New Town,3,2437,3
Konanakunte,4,1200,2
Lakshminarayana Pura,2,1169,2
Chandapura,2,985,2
Nagashetty Halli,2,1350,2
RMV 2nd Stage,3,2550,4
Hanumantha Nagar,8,3300,8
Balagere,1,656,1
Panathur,2,1359,2
Yelahanka,2,1035,2
Jalahalli East,2,1020,2
Akshaya Nagar,3,1897,3
Kengeri Satellite Town,2,1050,2
Hebbal,2,1162,2
Sarjapur  Road,3,1173,2
Silk Board,3,1435,2
Kadugodi,9,6200,9
K G Colony,3,1600,2
Old Madras Road,3,1480,3
Whitefield,4,3940,5
Poornapragna Housing Society Layout,3,1270,2
7th Phase JP Nagar,2,1270,2
Electronic City,1,435,1
NRI Layout,2,2400,2
Kanakpura Road,2,1339,2
Pattanagere,2,850,2
1st Block Koramangala,3,1800,3
Sector 7 HSR Layout,3,1760,3
Harlur,3,1414,3
Suddaguntepalya,3,1425,3
Jakkur,4,3181,
Shankarapuram,2,900,1
Kundalahalli,2,1291,2
Hosakerehalli Layout,7,2500,6
Hebbal,2,1053,2
Whitefield,3,1495,
Whitefield,2,1215,2
 Devarabeesana Halli,2,1296,2
Cottonpet,4,1750,2
Sarjapur  Road,4,2990,4
Hoodi,3,1660,3
Chikkalasandra,3,1290,2
K R C kothanur,2,1140,2
Kodihalli,3,2392,4
Thyagaraja Nagar,5,570,5
Kammanahalli,2,1160,2
Thanisandra,3,2002,3
Kasavanhalli,2,1121,2
Anandapura,4,1749,4
KR Puram,2,1290,2
JP Nagar,2,1300,2
Sompura,2,1090,2
Udayapur Village,3,1440,2
Somasundara Palya,2,1329,2
Sector 2 HSR Layout,2,1296,2
5th Block Jayanagar,4,10624,4
5th Phase JP Nagar,5,2500,5
Kengeri,2,726,2
Doctors Layout,2,1125,2
Kengeri Hobli,3,600,2
Frazer Town,3,1750,3
Rachenahalli,3,1530,2
Ananth Nagar,2,870,2
Hennur Road,3,1290,2
Electronic City Phase II,2,1219,2
Banjara Layout,3,1294,2
Bannerghatta Road,3,1550,3
Kanakpura Road,3,1592,3
Hosa Road,2,1161,2
Gopalkrishna Nagar,2,1165,2
Varthur,2,1280,2
Hebbal,2,1320,2
Yelahanka,3,1355,2
Basavangudi,3,1350,2
Budigere,3,1820,3
Munnekollal,2,1210,2
Lingadheeranahalli,3,1893,3
HAL 2nd Stage,3,2100,3
5th Phase JP Nagar,5,4000,5
Yelahanka,2,1519,2
BHEL Layout,4,1200,3
Shampura,7,2800,5
Vishwapriya Layout,7,950,7
Kothanur,2,1140,2
Alfa Garden Layout,2,975,2
Kundalahalli,4,2500,5
Mysore Road,2,1175,2
Padmanabhanagar,3,1400,3
Kanakpura Road,3,1100,2
Hennur Road,3,1936,3
Bommenahalli,4,2940,3
Doddanakundi Industrial Area 2,2,1092,2
9th Phase JP Nagar,2,1050,2
BTM Layout,2,1150,2
Bisuvanahalli,3,1180,3
Banashankari 6th Stage,2,1330,2
Kudlu Gate,3,1707,
Ambedkar Nagar,3,1935,4
Electronics City Phase 1,3,1522.5,
Kammanahalli,4,900,4
Sarjapur,1,650,1
Whitefield,1,665,
Housing Board Layout Vijay Nagar,8,1200,8
Sonnenahalli,1,605,1
Sarjapur  Road,3,1691,3
JP Nagar,3,20000,3
Whitefield,4,4800,4
Bannerghatta Road,2,1215,2
Gollarapalya Hosahalli,4,1905,3
Mahalakshmi Layout,4,1575,5
Murugeshpalya,3,1344,2
KR Puram,3,1700,3
Srinagar,4,2000,3
Electronic City Phase II,2,1200,2
Talaghattapura,3,1257,2
Raja Rajeshwari Nagar,2,1140,2
Sanjay nagar,3,1200,2
Vidyaranyapura,3,1100,2
Billekahalli,2,1140,2
Giri Nagar,6,1200,3
Hennur Bande,5,1200,4
5th Phase JP Nagar,2,1440,2
Varthur,2,1083,2
7th Phase JP Nagar,3,2100,3
Ardendale,3,1777.26,3
Thanisandra,2,1093,2
Rachenahalli,3,1550,3
Bisuvanahalli,3,1075,2
Kengeri,5,8000,5
Kalena Agrahara,2,1200,3
Kanakapura,1,551,1
Hulimavu,2,1255,2
Bellandur,3,2666,3
Sarjapur  Road,3,1510,2
Devanahalli,3,1466,3
BTM Layout,3,1450,2
Whitefield,3,1386,3
Marathahalli,2,1100,2
Indira Nagar,2,1149,2
Whitefield,2,1190,2
Krishna Reddy Layout,3,1250,3
Chandapura,2,1200,2
Bellandur,2,1000,2
Jakkur,2,1260,2
Hosa Road,2,1161,2
Frazer Town,3,2350,4
Electronics City Phase 1,2,1205,2
Hoysalanagar,3,1320,2
Vaishnavi Layout,4,4830,5
Kaggadasapura,2,1200,2
Electronic City Phase II,2,1244,2
Hennur,2,1255,2
KR Puram,7,1200,8
Hebbal,3,1255,2
Electronic City,3,1105,2
5th Phase JP Nagar,2,1256,2
5th Phase JP Nagar,3,1725,2
Begur Road,2,1200,2
Ambedkar Nagar,2,1424,2
Indira Nagar,4,2200,4
Shivaji Nagar,2,703,2
Electronic City,2,1073,2
Kanakpura Road,3,1603,3
Kaggadasapura,2,1180,2
Gunjur,2,1235,2
Nanjappa Layout,3,1800,3
Dodsworth Layout,6,30400,4
Varthur,3,1360,2
Kadugodi,5,1100,5
Ramagondanahalli,2,1215,2
Kanakpura Road,3,1596,3
8th Block Jayanagar,6,2000,6
Panathur,2,1180,2
Channasandra Layout,3,1563,2
Kathriguppe,2,1250,2
1st Block Jayanagar,3,1760,3
Mysore Road,2,1200,2
Marathahalli,2,1350,2
BTM 1st Stage,7,600,7
Raja Rajeshwari Nagar,2,1185,2
Green Glen Layout,3,1970,3
Akshaya Nagar,3,1419,2
Padmanabhanagar,2,1150,2
Uttarahalli,3,1330,2
Panathur,2,1050,2
HSR Layout,3,1475,3
Balagere,2,1012,2
5th Phase JP Nagar,2,1190,2
Whitefield,1,905,1
Sultan Palaya,4,2200,3
Marathahalli,3,1690,3
Harlur,2,1197,2
Bommasandra,3,1260,3
Kanakpura Road,3,1570,3
Sarjapur  Road,4,4395,4
Sarjapur  Road,2,1210,2
Somasundara Palya,3,1600,3
JP Nagar,2,1048,2
Kanakpura Road,2,700,1
Indira Nagar,3,2700,3
Vishveshwarya Layout,7,4000,7
Kengeri Satellite Town,2,1007,2
Sonnenahalli,3,1610,3
Kundalahalli,3,1397,3
7th Phase JP Nagar,2,1050,2
Choodasandra,3,1560,3
NGR Layout,2,1020,2
Whitefield,2,1197,2
Hennur Road,3,2320,3
Uttarahalli,2,1380,2
Nagarbhavi,4,1200,4
MLA Layout,2,1050,2
Nehru Nagar,2,1100,2
6th Phase JP Nagar,1,750,1
Kammanahalli,4,1080,3
HMT Layout,2,1105,2
Cholanayakanahalli,5,3000,6
Ambedkar Nagar,5,5530,5
Chikka Tirupathi,3,2325,3
Makali,1,530,1
Belathur,2,460,1
Mico Layout,3,1550,2
BTM Layout,2,1196,2
Devanahalli Int. Airport,4,4800,5
Hennur Road,2,1317.5,2
Attibele,1,418,2
Lingadheeranahalli,3,1687,3
Vittasandra,2,1404,2
Tirumanahalli,2,1255,2
Hosakerehalli,2,1304,2
Bannerghatta Road,1,700,1
Hosa Road,2,1045,2
HSR Layout,2,1372,2
Kathriguppe,3,1390,2
Anandapura,2,616,3
2nd Stage Nagarbhavi,5,1200,4
Sadashiva Nagar,3,3761,3
Hebbal,3,1328,2
Balagere,2,1007,2
Uttarahalli,3,1329,2
Harlur,2,1303,2
Rachenahalli,2,1050,2
Sarjapur,3,1600,3
Whitefield,3,1755,3
"JP Nagar 8th Phase, ",4,5000,5
Kaggalipura,2,1000,2
Koramangala,2,1320,2
Sarjapur  Road,3,2720,5
Naganathapura,8,1200,7
Mallathahalli,3,1225,3
Kalyan nagar,2,1250,2
Subramanyapura,2,1260,2
tc.palya,2,1020,2
Doddabommasandra,8,3150,5
Kanakpura Road,3,1450,3
Begur Road,3,1615,3
Electronic City,2,660,1
Vidya Nagar,2,3760,2
Kaval Byrasandra,2,1200,2
Frazer Town,3,1510,2
Bannerghatta Road,3,1465,2
Dodda Nekkundi,3,1435,3
 Electronic City,1,435,1
Pai Layout,2,1000,2
Whitefield,2,1215,2
Ashok Nagar,2,703,2
Yelahanka,5,2500,3
Chikkabanavar,3,1600,2
Whitefield,3,1200,3
Subramanyapura,2,1000,2
Nagarbhavi,4,600,4
Rajaji Nagar,3,1640,3
Banjara Layout,2,1050,2
Dr Shivarama Karantha Nagar,2,1200,2
Old Madras Road,4,4000,4
Bileshivale,6,2400,7
Bank Of Baroda Colony,2,1080,2
Banashankari Stage III,4,2100,3
Whitefield,3,1496,2
Pai Layout,2,1006,2
J C Nagar,3,1525,3
Chandapura,3,1110,2
Whitefield,3,2500,3
Budigere,3,1820,3
Suddaguntepalya,2,830,2
Chamrajpet,3,1650,3
Hebbal,3,1255,2
Subramanyapura,3,1223,2
Harlur,3,1755,3
Munivenkatppa Layout,4,4500,3
Electronics City Phase 1,2,865,2
Green Woods Layout,2,1206,2
Old Madras Road,2,935,2
Uday Nagar,3,1650,3
Gubbalala,3,1745,3
Electronics City Phase 1,1,785,1
Sarjapur  Road,3,3004,4
Giri Nagar,7,4500,5
Chikkalasandra,3,1365,2
Hosa Road,2,1143,2
Horamavu Banaswadi,2,1272,2
HOSUR MAIN ROAD,3,1464,3
Electronic City,3,1631,3
Hennur,2,1285,2
Kanakapur main road,2,1025,2
Hebbal,2,1349,2
Electronic City,2,880,2
Jakkur,3,1710,3
Thanisandra,2,1260,2
Hennur Road,4,2502,4
Electronics City Phase 1,3,1450,2
Basavangudi,2,1230,2
Choodasandra,2,1115,2
Old Madras Road,3,2640,5
8th Phase JP Nagar,3,1431.5,3
Yelahanka,3,1823,3
Koramangala,3,1700,3
Singasandra,4,3366,4
Rachenahalli,2,1200,2
Dodda Nekkundi,2,1155,2
9th Phase JP Nagar,3,1300,2
Judicial Layout,2,900,2
Chikkalasandra,2,1100,2
