location,size,total_sqft,bath,price
Yelachenahalli,3.0,1400.0,2.0,55.0
Crimson Layout,2.0,1250.0,2.0,60.0
Ramamurthy Nagar,2.0,1200.0,2.0,68.0
Kenchenahalli,3.0,1720.0,3.0,100.0
Nagavarapalya,2.0,1134.0,2.0,55.0
EPIP Zone,2.0,1330.0,2.0,86.98
KR Puram,2.0,1040.0,2.0,50.0
Harsha Layout,1.0,450.0,1.0,20.0
Basavangudi,3.0,2300.0,3.0,317.0
Kundalahalli,3.0,1496.0,2.0,78.0
R.T. Nagar,2.0,1040.0,2.0,46.0
Talaghattapura,3.0,2038.5,3.0,120.0
Bellandur,2.0,1170.0,2.0,46.79
Whitefield,2.0,1024.0,2.0,32.0
Sahakara Nagar,3.0,2200.0,3.0,98.0
Yelachenahalli,4.0,900.0,2.0,115.0
Medahalli,3.0,1065.0,3.0,72.0
Ngef Layout,4.0,2100.0,3.0,1000.0
Electronic City Phase II,2.0,1069.0,2.0,45.0
Mahadevpura,2.0,1058.0,2.0,85.0
Banashankari,2.0,1020.0,2.0,42.83
Electronics City Phase 1,3.0,2040.0,3.0,137.0
1st Phase JP Nagar,2.0,1566.0,2.0,180.0
Bhoganhalli,3.0,1700.0,3.0,126.0
6th Phase JP Nagar,2.0,1170.0,2.0,120.0
Whitefield,4.0,2856.0,5.0,154.5
Kanakapura Road,3.0,1950.0,3.0,130.0
Hebbal,2.0,1299.0,2.0,100.0
Harlur,2.0,1197.0,2.0,78.0
Whitefield,2.0,1074.0,2.0,42.8
Ananth Nagar,1.0,500.0,1.0,14.0
Sadashiva Nagar,4.0,3500.0,4.0,700.0
Thanisandra,2.0,1460.0,2.0,38.5
Bellandur,2.0,1410.0,3.0,92.0
Indira Nagar,2.0,1475.0,2.0,171.0
Ramanagara Channapatna,4.0,1200.0,2.0,75.0
Upadhyaya Layout,3.0,1300.0,2.0,67.0
Rajaji Nagar,4.0,6500.0,5.0,1400.0
Whitefield,4.0,2400.0,5.0,329.0
Haralur Road,2.0,1027.0,1.0,44.0
Jai Bheema Nagar,3.0,1470.0,2.0,70.0
Lingadheeranahalli,3.0,1683.0,3.0,110.0
Sai Gardens,2.0,1339.0,2.0,55.0
Talaghattapura,3.0,2265.0,3.0,159.0
Kothanur,3.0,1435.0,3.0,70.0
Nagadevanahalli,2.0,1090.0,2.0,36.0
Vishwapriya Layout,2.0,1235.0,2.0,60.0
Dodda Nekkundi,2.0,850.0,2.0,28.0
Giri Nagar,1.0,600.0,1.0,125.0
Electronic City Phase II,2.0,1020.0,2.0,30.6
Dasarahalli,2.0,1220.0,2.0,52.0
1st Block Jayanagar,4.0,2400.0,4.0,450.0
Uttarahalli,3.0,1285.0,2.0,44.98
Vittal Nagar,2.0,1000.0,2.0,45.0
KR Puram,2.0,1035.0,2.0,40.5
Kammasandra,2.0,810.0,2.0,24.5
 Devarachikkanahalli,3.0,1417.0,2.0,76.0
Abbigere,8.0,3000.0,8.0,150.0
Hosakerehalli,3.0,1795.0,3.0,64.62
Kaggadasapura,2.0,1132.0,2.0,42.0
Nallurhalli,2.0,1100.0,2.0,62.0
Raja Rajeshwari Nagar,2.0,1196.0,2.0,40.54
Shree Ananth Nagar Layout,2.0,1154.0,2.0,57.0
Haralur Road,2.0,1140.0,2.0,43.0
5th Stage BEML Layout,3.0,2000.0,3.0,85.0
1st Block HBR Layout,4.0,3150.0,4.0,150.0
Electronic City,3.0,1025.0,2.0,47.0
Sarjapur  Road,3.0,1787.0,3.0,116.0
Kathriguppe,3.0,1300.0,3.0,77.99
Amruthahalli,3.0,2650.0,4.0,175.0
Mallappa Layout,3.0,1500.0,3.0,75.0
Marathahalli,3.0,1350.0,2.0,62.0
Koramangala,3.0,1745.0,3.0,98.0
Yeshwanthpur,2.0,1277.5,2.0,95.815
Vittasandra,2.0,1246.0,2.0,64.5
"Off Sarjapur Road, ",3.0,1518.0,3.0,76.0
Sarjapur  Road,3.0,1819.0,3.0,100.0
KR Puram,2.0,1150.0,2.0,42.0
Jalahalli,1.0,612.5,1.0,27.565
Raja Rajeshwari Nagar,2.0,1240.0,2.0,40.54
Brookefield,4.0,3532.0,3.0,170.0
Cooke Town,3.0,1850.0,3.0,110.0
Panathur,2.0,1125.0,2.0,45.0
Somasundara Palya,3.0,1575.0,3.0,63.1
Electronic City,2.0,1070.0,2.0,48.0
Shanti Nagar,2.0,420.0,1.0,25.0
Jigani,2.0,914.0,2.0,47.0
Kathriguppe,3.0,1335.0,2.0,73.43
Mysore Road,2.0,1170.0,2.0,65.0
Horamavu Agara,3.0,1453.0,2.0,46.48
Kanakpura Road,2.0,700.0,2.0,35.0
Yeshwanthpur,4.0,1200.0,4.0,110.0
Thigalarapalya,2.0,1418.0,2.0,104.0
Hebbal,3.0,3500.0,3.0,395.0
Sarjapur,4.0,3300.0,4.0,430.0
Channasandra Layout,5.0,3100.0,6.0,165.0
Langford Town,3.0,912.0,2.0,70.0
Hormavu,2.0,1165.0,2.0,40.0
Electronic City,3.0,1350.0,3.0,58.0
Hosakerehalli,3.0,1817.0,4.0,153.0
Old Madras Road,3.0,1350.0,3.0,58.99
Thanisandra main road,4.0,4110.0,4.0,590.0
Banashankari,3.0,1770.0,3.0,108.0
Billekahalli,2.0,1125.0,2.0,65.0
Ananth Nagar,1.0,500.0,1.0,14.0
Thubarahalli,3.0,1242.0,3.0,51.0
Avalahalli,2.0,1053.0,2.0,46.29
Domlur,1.0,640.0,1.0,55.0
Whitefield,3.0,1738.0,2.0,79.0
 Thanisandra,1.0,510.0,1.0,25.25
Hoodi,2.0,1225.0,2.0,45.0
Hebbal,2.0,1440.0,2.0,115.0
Kereguddadahalli,2.0,800.0,2.0,28.0
Ambalipura,3.0,1800.0,3.0,110.0
Uttarahalli,3.0,1265.0,2.0,65.0
Lakshmi Layout,9.0,900.0,10.0,170.0
Bommasandra Industrial Area,2.0,1130.0,2.0,32.64
Parappana Agrahara,2.0,1194.0,2.0,46.0
Bhagyalakshmi Avenue,1.0,540.0,1.0,22.5
Electronic City,2.0,1020.0,2.0,29.46
Electronic City,3.0,1400.0,2.0,40.44
Thanisandra,2.0,1110.0,2.0,46.5
GKW Layout,4.0,1350.0,4.0,225.0
Doddanekundi,3.0,1760.0,3.0,176.0
Attibele,2.0,1000.0,2.0,42.0
Kudlu Gate,3.0,1535.0,3.0,85.0
Old Madras Road,4.0,3715.0,6.0,224.5
Uttarahalli,2.0,1200.0,2.0,55.0
Vidyaranyapura,2.0,1100.0,2.0,54.0
R.T. Nagar,2.0,1500.0,2.0,45.0
Devanahalli Road,3.0,1532.0,3.0,92.0
Basavanapura,7.0,1800.0,5.0,65.0
Kuvempu Nagar,3.0,1540.0,3.0,150.0
Abbigere,1.0,765.0,2.0,30.0
Whitefield,2.0,1170.0,2.0,38.0
Varthur,3.0,1665.0,3.0,71.58
Hennur Busstop,2.0,1100.0,2.0,62.7
Jalahalli East,4.0,720.0,4.0,48.0
Electronic City Phase II,3.0,1310.0,2.0,37.84
Banashankari,2.0,1260.0,2.0,75.0
Whitefield,2.0,1317.0,2.0,52.0
Syndicate Bank Colony,3.0,1200.0,3.0,66.0
Bellandur,3.0,1420.0,3.0,62.0
Channasandra,6.0,4200.0,6.0,180.0
Chikkabanavar,8.0,4000.0,7.0,110.0
Hosur Road,3.0,1370.0,3.0,38.36
Kengeri,1.0,400.0,1.0,25.0
Yeshwanthpur,2.0,1195.0,2.0,100.0
Kachanayakanahalli,2.0,861.0,2.0,35.0
Sarjapur  Road,2.0,1000.0,2.0,40.0
Thanisandra,3.0,1430.0,2.0,56.0
7th Phase JP Nagar,2.0,1050.0,2.0,42.0
Hebbal,3.0,1920.0,3.0,134.0
Uttarahalli,2.0,1025.0,2.0,35.88
Jakkur Plantation,3.0,1765.0,3.0,105.0
Kaggadasapura,3.0,1350.0,3.0,55.5
Roopena Agrahara,2.0,1200.0,2.0,100.0
Ardendale,3.0,1750.0,3.0,100.0
Kenchenhalli,3.0,1786.0,3.0,79.99
Vasanth nagar,3.0,3025.0,3.0,500.0
Sahakara Nagar,3.0,1100.0,2.0,75.0
Electronic City Phase II,4.0,1900.0,3.0,97.0
Sarjapur  Road,4.0,3005.0,5.0,275.0
Ramamurthy Nagar,3.0,3600.0,3.0,150.0
BTM Layout,3.0,1540.0,2.0,78.0
Electronic City,2.0,1140.0,2.0,70.93
Rajaji Nagar,3.0,2450.0,3.0,330.0
Kanakpura Road,3.0,1100.0,2.0,53.0
Kanakpura Road,3.0,1100.0,3.0,56.57
KR Puram,1.0,700.0,1.0,21.5
R.T. Nagar,2.0,1080.0,2.0,48.0
Hoysalanagar,3.0,1325.0,3.0,57.0
Vidyaranyapura,6.0,1060.0,6.0,110.0
Whitefield,3.0,1897.0,3.0,130.0
Hennur Road,2.0,1385.0,2.0,83.09
Srirampura,7.0,1875.0,5.0,192.0
Baba Nagar,2.0,700.0,2.0,29.0
Vijayanagar,3.0,1826.0,3.0,121.0
Jakkur,3.0,1785.0,3.0,130.0
Kalasipalya,7.0,1875.0,2.0,300.0
Lavelle Road,3.0,2500.0,3.0,425.0
Kengeri,1.0,500.0,1.0,17.0
Yelenahalli,3.0,1600.0,3.0,61.37
Babusapalaya,2.0,1100.0,2.0,38.0
Kasavanhalli,2.0,1121.0,2.0,78.0
Singapura Village,4.0,2230.0,4.0,130.0
Mahadevpura,2.0,1050.0,2.0,42.0
Haralur Road,4.0,3700.0,4.0,325.0
Kengeri,2.0,927.0,2.0,37.0
Raja Rajeshwari Nagar,3.0,1280.0,3.0,57.6
Electronics City Phase 1,2.0,1300.0,2.0,67.0
Jalahalli West,2.0,782.0,2.0,55.68
Whitefield,4.0,4800.0,5.0,550.0
Marathahalli,2.0,1019.0,2.0,49.86
Hosur Road,2.0,1180.0,2.0,36.5
Koramangala,2.0,1180.0,2.0,128.0
Vignana Nagar,5.0,800.0,4.0,98.0
Ashirvad Colony,2.0,1100.0,2.0,45.0
Raja Rajeshwari Nagar,3.0,1260.0,2.0,62.0
Choodasandra,2.0,1140.0,2.0,62.0
Carmelaram,3.0,1732.5,3.0,91.855
Kudlu,3.0,1245.0,2.0,60.0
Budigere,3.0,1820.0,3.0,93.0
"Off Sarjapur road, ",4.0,3000.0,4.0,342.0
Kundalahalli,3.0,1724.0,3.0,125.0
Koramangala,2.0,1260.0,2.0,100.0
Electronic City,2.0,1110.0,2.0,40.0
Uttarahalli,2.0,1125.0,2.0,47.0
Tata Nagar,2.0,1364.0,2.0,70.0
KR Garden,2.0,925.0,2.0,63.0
Yeshwanthpur,3.0,1676.0,3.0,92.13
manyata park,3.0,1780.0,3.0,84.83
Kudlu Gate,3.0,1850.0,3.0,120.0
HSR Layout,2.0,1185.0,2.0,60.0
Gulimangala,3.0,1690.0,3.0,50.0
Talaghattapura,2.0,1100.0,2.0,50.0
6th Phase JP Nagar,3.0,1250.0,3.0,48.9
Banjara Layout,3.0,600.0,3.0,58.0
VGP Layout,2.0,1176.0,2.0,44.0
Kenchenahalli,1.0,715.0,1.0,45.0
Sarjapur,4.0,2970.0,3.0,130.0
Huskur,2.0,1125.0,2.0,32.49
Thigalarapalya,3.0,2215.0,4.0,160.0
Hosa Road,3.0,1318.0,2.0,85.28
Marathahalli,4.0,3400.0,4.0,235.0
Banashankari Stage III,3.0,1350.0,2.0,68.0
Old Airport Road,2.0,1055.0,2.0,75.0
Rajaji Nagar,4.0,3730.0,4.0,370.0
Ejipura,7.0,1800.0,7.0,250.0
9th Phase JP Nagar,4.0,3500.0,4.0,300.0
Electronic City,3.0,1360.0,2.0,71.0
9th Phase JP Nagar,3.0,1240.0,2.0,39.89
Kasavanhalli,3.0,1980.0,3.0,88.0
Byadarahalli,3.0,3071.0,4.0,300.0
Kanakpura Road,3.0,1610.0,3.0,78.5
Cleveland Town,2.0,1100.0,2.0,85.0
Yelahanka,2.0,890.0,2.0,40.0
Badavala Nagar,3.0,1842.0,3.0,115.0
Hormavu,2.0,1050.0,2.0,77.0
1st Block HRBR Layout,3.0,600.0,3.0,90.0
Peenya,3.0,1286.0,3.0,67.0
Doddakannelli,3.0,1475.0,3.0,70.0
Sarjapur  Road,2.0,1200.0,2.0,75.0
Ramagondanahalli,3.0,1910.0,3.0,142.0
Electronic City,2.0,1200.0,2.0,20.0
Banashankari,2.0,1181.0,2.0,75.0
Kanakpura Road,2.0,1207.0,2.0,79.9
Kothanur,2.0,1185.0,2.0,58.0
Kudlu Gate,1.0,1400.0,1.0,285.0
Arekere,2.0,1222.0,2.0,45.0
Devanahalli,2.0,1260.0,2.0,66.78
Kudlu Gate,3.0,1532.0,3.0,83.0
Dinnur,3.0,1700.0,3.0,97.0
Kudlu,2.0,1300.0,2.0,56.0
Domlur Layout,3.0,2000.0,3.0,200.0
Marathahalli,3.0,1950.0,3.0,115.0
Palace Road,3.0,1480.0,2.0,145.0
KR Puram,2.0,734.0,2.0,22.0
Attibele,1.0,400.0,1.0,12.0
Maruthi Nagar,10.0,3300.0,9.0,450.0
Whitefield,2.0,1192.0,2.0,71.0
Hennur Road,2.0,1157.0,2.0,84.0
Yelahanka,2.0,1115.0,2.0,60.0
Panduranga Nagar,1.0,500.0,1.0,20.0
Kanakpura Road,3.0,1425.0,2.0,49.88
Sarjapur  Road,2.0,1346.0,2.0,69.61
Banaswadi,6.0,1000.0,4.0,150.0
Mahadevpura,2.0,1475.0,2.0,55.0
Tumkur Road,2.0,708.0,2.0,32.0
Kothnur Narayanapura,2.0,1290.0,1.0,77.5
Bannerghatta Road,2.0,1000.0,2.0,44.5
Hosa Road,2.0,1170.0,2.0,65.0
Kalena Agrahara,2.0,1187.0,2.0,52.0
Sarjapur  Road,3.0,1428.0,2.0,66.0
Kaggadasapura,3.0,1495.0,3.0,60.0
Rachenahalli,2.0,1050.0,2.0,52.5
Electronic City Phase II,3.0,1400.0,2.0,40.43
Yelahanka,4.0,2912.5,6.0,125.5
Budigere,2.0,1153.0,2.0,56.4
Hennur Road,2.0,1232.0,2.0,74.0
Raja Rajeshwari Nagar,3.0,1529.0,3.0,51.77
Electronics City Phase 1,2.0,1145.0,2.0,54.0
Shivaji Nagar,3.0,1460.0,2.0,90.0
Sarjapur,2.0,1175.0,2.0,41.68
Electronic City,2.0,1140.0,2.0,32.93
Electronics City Phase 1,2.0,950.0,2.0,31.0
5th Phase JP Nagar,2.0,1207.0,2.0,63.0
Electronics City Phase 1,2.0,1015.0,2.0,56.0
R.T. Nagar,4.0,1800.0,3.0,120.0
"Banashankari 6th stage , 2nd block",3.0,600.0,4.0,100.0
Marathahalli,2.0,1350.0,2.0,89.0
Bommasandra,3.0,1200.0,3.0,46.0
Electronics City Phase 1,3.0,1750.0,3.0,84.0
Battarahalli,3.0,2082.0,3.0,104.0
Kalena Agrahara,2.0,800.0,2.0,40.0
Vijayanagar,3.0,1704.0,3.0,110.0
Electronics City Phase 1,2.0,1113.27,2.0,53.0
Whitefield,3.0,1635.0,2.0,85.0
Kathriguppe,2.0,754.0,2.0,69.99
Rayasandra,2.0,1253.0,2.0,57.0
JP Nagar,2.0,1107.0,2.0,57.0
Kengeri,3.0,1200.0,3.0,67.0
Hennur,3.0,1655.0,2.0,70.5
Uttarahalli,2.0,1075.0,2.0,46.76
Richmond Town,2.0,1233.0,2.0,100.0
Whitefield,4.0,5924.0,4.0,625.0
Electronic City,1.0,418.0,1.0,12.0
Uttarahalli,7.0,1200.0,7.0,225.0
Hebbal,4.0,2470.0,5.0,247.0
EPIP Zone,3.0,1860.0,3.0,130.0
Bannerghatta Road,3.0,1344.0,2.0,42.0
Kengeri,2.0,1052.0,2.0,51.0
Marathahalli,4.0,4000.0,4.0,220.0
Jai Bheema Nagar,2.0,1339.0,2.0,55.0
Pai Layout,2.0,1150.0,2.0,170.0
B Y Raveshwara Nagar,4.0,1200.0,2.0,140.0
Sector 6 HSR Layout,3.0,3800.0,3.0,580.0
Varthur,2.0,986.0,2.0,31.0
Whitefield,3.0,1500.0,3.0,61.95
Bommanahalli,2.0,1350.0,2.0,72.0
Motappa Layout,2.0,1113.0,2.0,52.0
Whitefield,2.0,1300.0,2.0,78.0
Whitefield,4.0,2500.0,4.0,420.0
Thanisandra,3.0,1917.0,4.0,100.0
Old Madras Road,5.0,4500.0,7.0,337.0
Bisuvanahalli,3.0,1080.0,2.0,65.0
Sadashiva Nagar,5.0,9600.0,7.0,2736.0
Jigani,3.0,1221.0,3.0,52.0
Ejipura,3.0,2070.0,3.0,135.0
BHEL Layout,6.0,2400.0,4.0,170.0
Ramagondanahalli,5.0,9600.0,6.0,1800.0
Raghuvanahalli,1.0,425.0,1.0,750.0
Jalahalli East,2.0,1010.0,2.0,52.0
Vijaya Bank Layout,5.0,2400.0,5.0,400.0
Somasundara Palya,2.0,1448.0,2.0,68.0
Channasandra,3.0,1800.0,3.0,60.0
Hosa Road,2.0,1079.0,2.0,32.37
Kengeri,2.0,963.0,2.0,40.0
Whitefield,2.0,1187.0,2.0,38.0
Gollahalli,3.0,1325.0,2.0,47.0
Balagere,2.0,1380.0,2.0,60.0
Vishwanatha Nagenahalli,2.0,1050.0,2.0,50.0
Chikka Banaswadi,3.0,1555.0,3.0,73.0
Hosa Road,3.0,1332.0,2.0,86.12
Bisuvanahalli,3.0,1075.0,2.0,31.0
Karuna Nagar,3.0,2500.0,3.0,190.0
Indira Nagar,1.0,850.0,1.0,57.0
Ananth Nagar,2.0,1000.0,2.0,25.0
Singasandra,3.0,1440.0,2.0,65.0
Thanisandra,2.0,1098.0,2.0,68.0
Sarjapur  Road,4.0,3785.0,5.0,280.0
Harlur,2.0,1200.0,2.0,52.0
Whitefield,3.0,2280.0,4.0,125.0
Lakshminarayana Pura,2.0,1200.0,2.0,83.0
Sarjapur  Road,3.0,1350.0,3.0,39.97
Banashankari Stage V,3.0,1510.0,3.0,47.57
Gottigere,3.0,1400.0,2.0,50.0
GD Layout,2.0,1094.0,2.0,44.0
Padmanabhanagar,2.0,1100.0,2.0,65.0
Thanisandra,5.0,750.0,4.0,62.0
KR Puram,5.0,3300.0,3.0,255.0
Hormavu,1.0,715.0,1.0,46.0
Rajaji Nagar,6.0,1800.0,4.0,324.0
Gottigere,3.0,1385.0,2.0,50.0
Ramamurthy Nagar,2.0,1150.0,2.0,40.0
Horamavu Agara,3.0,1176.0,2.0,37.62
Kaverappa Layout,3.0,1540.0,3.0,85.0
D Group Employees Layout,4.0,1200.0,4.0,230.0
HAL 2nd Stage,3.0,2700.0,3.0,500.0
Kodigehaali,3.0,1320.0,3.0,65.0
EPIP Zone,4.0,3800.0,5.0,170.0
Marsur,3.0,1200.0,3.0,150.0
Kanakpura Road,2.0,1470.0,2.0,61.74
Hoodi,4.0,2065.5,4.0,91.915
Babusapalaya,2.0,1061.0,2.0,34.0
Vajarahalli,5.0,600.0,3.0,86.0
Marathahalli,3.0,1315.0,2.0,60.0
Udaya Nagar,2.0,1225.0,2.0,47.0
Chennammana Kere,3.0,1480.0,3.0,75.48
Thanisandra,1.0,777.0,1.0,38.535
Haralur Road,4.0,3400.0,5.0,240.0
Uttarahalli,2.0,1123.0,2.0,60.0
Whitefield,2.0,1295.0,2.0,78.5
D Group Employees Layout,5.0,4400.0,5.0,240.0
Neeladri Nagar,1.0,640.0,1.0,20.5
TC Palaya,5.0,1440.0,5.0,97.0
Uttarahalli,3.0,1788.0,3.0,98.34
Malleshwaram,4.0,6500.0,4.0,1400.0
Hormavu,2.0,1046.0,2.0,60.0
1st Phase JP Nagar,2.0,1394.0,2.0,100.0
Akshaya Nagar,3.0,1893.0,4.0,95.0
Seegehalli,2.0,1176.0,2.0,50.0
Kumaraswami Layout,7.0,3100.0,7.0,145.0
Thanisandra,3.0,1200.0,2.0,65.0
Seshadripuram,2.0,600.0,3.0,75.0
Kodigehalli,8.0,1150.0,9.0,170.0
Uttarahalli,3.0,1617.0,3.0,66.68
Bellandur,3.0,2400.0,3.0,115.0
Bellandur,3.0,1535.0,3.0,90.0
12th cross srinivas nagar banshankari 3rd stage,1.0,1800.0,1.0,200.0
Hormavu,2.0,1210.0,2.0,69.0
Rajaji Nagar,2.0,1200.0,1.0,200.0
Kalkere,2.0,925.0,2.0,70.0
Hebbal,3.0,1636.0,3.0,119.0
Dodda Banaswadi,3.0,1500.0,3.0,56.0
Hoodi,3.0,1660.0,3.0,131.0
Whitefield,2.0,1216.0,2.0,67.0
Kengeri Satellite Town,3.0,1415.0,2.0,66.0
Bommanahalli,2.0,1050.0,2.0,46.0
Thirumenahalli,2.0,1100.0,2.0,70.0
Whitefield,2.0,1216.0,2.0,66.48
Sarjapur,4.0,2585.5,4.0,139.5
Thigalarapalya,2.0,1418.0,2.0,104.0
Doddakallasandra,3.0,2493.0,3.0,115.0
Haralur Road,2.0,1300.0,2.0,75.0
Gollahalli,2.0,1060.0,2.0,53.0
Dasanapura,2.0,708.0,1.0,40.0
Sarjapur  Road,2.0,1320.0,2.0,110.0
Sarjapur  Road,3.0,1685.0,3.0,135.0
Manjunatha Layout,2.0,1200.0,2.0,125.0
Electronic City,2.0,1070.0,2.0,52.0
Rajaji Nagar,3.0,1640.0,3.0,262.0
Banashankari,3.0,600.0,3.0,100.0
Hosakerehalli,9.0,1380.0,9.0,150.0
Electronic City,2.0,1128.0,2.0,65.5
Hosur Road,5.0,3300.0,5.0,240.0
Electronic City,2.0,1150.0,2.0,38.08
Yarandahalli,3.0,1350.0,2.0,48.0
Harlur,2.0,936.0,2.0,45.0
Tumkur Road,3.0,1354.0,3.0,90.0
Uttarahalli,3.0,1540.0,3.0,50.0
Kamakshipalya,2.0,1150.0,2.0,75.0
Babusapalaya,2.0,1141.0,2.0,45.9
Kuvempu Layout,3.0,2200.0,4.0,160.0
Kanakpura Road,3.0,1452.0,3.0,54.2
HSR Layout,2.0,1140.0,2.0,46.0
Bellandur,2.0,1457.0,2.0,85.0
Xavier Layout,3.0,1524.0,4.0,400.0
9th Phase JP Nagar,2.0,1127.0,2.0,50.0
JCR Layout,2.0,1160.0,2.0,41.75
Begur Road,2.0,1160.0,2.0,42.0
Mahalakshmi Layout,4.0,1050.0,1.0,35.0
Yelahanka New Town,1.0,284.0,1.0,8.0
"JP nagar 9th Phase, ",3.0,1531.0,3.0,72.0
CV Raman Nagar,2.0,1025.0,2.0,50.0
Nagondanahalli,2.0,1095.0,2.0,45.0
Talaghattapura,2.0,1062.0,2.0,42.48
Whitefield,3.0,3150.0,3.0,290.0
Chennammana Kere,2.0,1100.0,2.0,56.1
Binny Pete,1.0,665.0,1.0,50.75
Raja Rajeshwari Nagar,2.0,1608.0,2.0,85.0
Kammagondahalli,2.0,1263.0,2.0,51.5
Battarahalli,2.0,1200.0,2.0,65.0
Jaraganahalli Jp Nagar Post,4.0,600.0,4.0,65.0
Vidyaranyapura,4.0,600.0,3.0,78.0
Malleshwaram,5.0,7500.0,7.0,1700.0
Whitefield,2.0,1276.0,2.0,69.5
Ananth Nagar,3.0,1319.0,3.0,42.0
KR Garden,3.0,1700.0,3.0,250.0
Chandapura,3.0,1190.0,2.0,30.35
GM Palaya,2.0,1030.0,2.0,60.0
Whitefield,2.0,1205.0,2.0,58.0
Hennur Road,2.0,1140.0,2.0,56.0
Sarjapur,3.0,1445.0,3.0,50.0
Thanisandra,1.0,693.0,1.0,34.3
Singapura Village,4.0,600.0,5.0,75.0
HSR Layout,2.0,1140.0,2.0,46.0
Jnanabharathi Layout,4.0,2400.0,3.0,142.0
Ulsoor,3.0,2700.0,3.0,450.0
Varsova Layout,3.0,1280.0,2.0,55.0
Haralur Road,3.0,1830.0,3.0,101.0
Nagashetty Halli,2.0,840.0,1.0,99.0
Hosa Road,3.0,1532.0,3.0,98.13
Kengeri Satellite Town,3.0,1191.0,2.0,33.34
Amruthahalli,3.0,1700.0,3.0,77.0
Bellandur,2.0,924.0,2.0,35.11
JP Nagar,3.0,1850.0,2.0,110.0
Panathur,2.0,1000.0,2.0,65.3
Electronic City,2.0,1128.0,2.0,64.0
Binny Pete,3.0,1282.0,3.0,178.0
BTM 2nd Stage,2.0,950.0,2.0,52.0
Hongasandra,2.0,1065.0,2.0,45.0
Malleshwaram,2.0,1124.0,3.0,80.0
Whitefield,2.0,1085.0,2.0,57.0
Hulimavu,3.0,1320.0,2.0,65.0
Electronic City,3.0,1530.0,2.0,45.9
Vasantha Vallabha Nagar,3.0,1280.0,2.0,100.0
Sri Sai Layout,2.0,1000.0,2.0,35.0
Sarjapur  Road,3.0,1877.0,4.0,150.0
Koramangala,2.0,1005.0,1.0,110.0
Varthur,2.0,1402.0,2.0,95.0
Yelahanka,3.0,2195.0,4.0,127.0
Vidyaranyapura,2.0,1200.0,2.0,42.0
Narayanappa Garden,2.0,1475.0,2.0,70.0
Old Airport Road,4.0,3200.0,4.0,700.0
frazertown,3.0,2900.0,3.0,325.0
Nobo Nagar,6.0,1500.0,7.0,220.0
Bharathnagar,2.0,1245.0,2.0,120.0
Thanisandra,2.0,1265.0,2.0,83.0
Sarjapur  Road,3.0,1750.0,3.0,99.0
Doddathoguru,2.0,1015.0,2.0,33.5
Kanakpura Road,1.0,525.0,1.0,30.0
Kammasandra,3.0,1365.0,2.0,34.13
Thanisandra,1.0,693.0,1.0,34.3
Hosakerehalli,3.0,2376.0,3.0,240.0
Abbaiah Reddy Layout,3.0,1310.0,2.0,50.0
M.G Road,2.0,1250.0,2.0,200.0
Babusapalaya,3.0,1358.0,2.0,43.4
Yeshwanthpur,3.0,1693.0,3.0,108.0
Somasundara Palya,3.0,1600.0,3.0,64.0
Bhoganhalli,3.0,1760.0,3.0,127.0
ITPL,4.0,5667.5,5.0,300.0
Kasavanhalli,3.0,1450.0,3.0,77.41
Yelahanka,4.0,3206.0,5.0,270.0
Kasavanhalli,2.0,1158.0,2.0,67.0
Hoysalanagar,2.0,1100.0,2.0,50.0
Electronic City,3.0,1360.0,2.0,75.0
Mallasandra,2.0,1200.0,2.0,130.0
Akshaya Nagar,4.0,1410.0,4.0,160.0
Rachenahalli,3.0,2710.0,3.0,170.0
Frazer Town,3.0,2214.0,3.0,350.0
BTM 4th Stage,2.0,1350.0,2.0,90.0
Nagarbhavi,4.0,600.0,5.0,95.0
Pulikeshi Nagar,3.0,2280.0,3.0,285.0
Magadi Road,2.0,750.0,2.0,27.0
Kogilu,1.0,700.0,1.0,30.84
Benson Town,3.0,3200.0,4.0,350.0
Hebbal,3.0,1255.0,2.0,95.0
Kadugondanahalli,6.0,727.0,6.0,66.0
Sarjapur  Road,4.0,3416.5,6.0,143.0
Lakshmipura,2.0,1225.0,2.0,65.0
Sindhi Colony,5.0,5665.84,7.0,988.0
Yemlur,8.0,12000.0,9.0,1900.0
Kathriguppe,3.0,1350.0,3.0,78.3
Doddathoguru,2.0,984.0,2.0,51.0
7th Phase JP Nagar,2.0,1175.0,2.0,82.0
1st Phase JP Nagar,3.0,2024.0,3.0,157.0
7th Phase JP Nagar,2.0,1000.0,2.0,38.0
9th Phase JP Nagar,2.0,1005.0,2.0,42.0
Bannerghatta Road,3.0,1660.0,3.0,85.0
Whitefield,2.0,1216.0,2.0,82.0
OMBR Layout,5.0,2400.0,5.0,275.0
Hebbal,2.0,1244.0,3.0,48.0
Marathahalli,2.0,1146.0,2.0,70.0
Talaghattapura,3.0,1868.0,3.0,135.0
Sector 2 HSR Layout,9.0,600.0,9.0,90.0
Choodasandra,2.0,1180.0,2.0,71.22
OMBR Layout,2.0,1085.0,2.0,64.0
Electronics City Phase 1,1.0,580.0,1.0,27.0
Yelahanka,3.0,1590.0,2.0,54.0
Raja Rajeshwari Nagar,3.0,1530.0,3.0,57.0
Chandapura,2.0,800.0,2.0,25.0
ITPL,4.0,3262.0,5.0,205.0
Sarjapur  Road,2.0,1194.0,2.0,57.0
Lingadheeranahalli,3.0,1683.0,3.0,109.0
