location,size,total_sqft,bath,predicted_price
Lakshminarayana Pura,3,1656.0,3.0,14718920.0
Frazer Town,3,1900.0,4.0,14034666.666666668
Sarjapur  Road,2,1026.0,2.0,5944883.333333334
R.T. Nagar,3,1140.0,3.0,11010870.0
Ckikkakammana Halli,2,902.0,2.0,4504200.0
Banashankari Stage VI,3,1410.5,2.0,6021324.0
Koramangala,3,1744.0,3.0,17305833.333333332
Mysore Road,2,883.0,2.0,4335674.047619047
Whitefield,2,1220.0,2.0,7686999.553863486
Whitefield,3,1704.0,3.0,11965157.476190476
Hennur,2,1255.0,2.0,5504431.766212981
Geddalahalli,2,893.0,2.0,3858151.25
Haralur Road,2,1300.0,2.0,7002928.571428572
Roopena Agrahara,3,1215.0,2.0,4960710.0
Vittasandra,2,1238.0,2.0,6624728.976608187
Kaval Byrasandra,2,997.0,2.0,5078441.666666667
R.T. Nagar,2,1100.0,2.0,6228750.0
Attibele,1,450.0,1.0,1376500.0
Raja Rajeshwari Nagar,3,1288.0,2.0,5727837.31060606
Ashirvad Colony,2,1100.0,2.0,5267950.0
Maruthi Sevanagar,2,950.0,2.0,4803988.333333334
Rajaji Nagar,2,1440.0,2.0,16089362.857142858
Shetty Halli,1,800.0,1.0,3595125.0
Shauhardha Layout,1,509.0,1.0,2351790.0
Bannerghatta Road,2,1270.0,2.0,7008526.666666666
Uttarahalli,3,1650.0,2.0,9296285.0
Kaggadasapura,3,1500.0,2.0,7748176.58685269
Hormavu,2,1150.0,2.0,5525500.0
Budigere,2,1153.0,2.0,5872906.666666666
Yelahanka,6,3600.0,6.0,14193250.0
Electronics City Phase 1,2,940.0,2.0,6504541.666666668
Whitefield,3,1840.0,3.0,12740500.0
Thigalarapalya,4,3362.0,5.0,26399078.846153844
Malleshwaram,3,2050.0,4.0,22463826.393051397
Rachenahalli,2,985.0,2.0,5021061.999999999
Anand nagar,2,1200.0,2.0,5297615.714285715
Whitefield,1,640.0,1.0,3449736.8095238097
Basaveshwara Nagar,3,1200.0,3.0,7308213.785714286
Nagashetty Halli,4,16335.0,4.0,144140000.0
Rajaji Nagar,2,1268.0,2.0,10830883.333333336
Bellandur,3,1735.0,3.0,11871276.190476188
Hennur Road,2,973.0,2.0,4968620.0
Kasavanhalli,3,1494.0,3.0,8398000.0
8th Phase JP Nagar,3,1230.0,2.0,5405600.0
Bannerghatta Road,3,1655.0,2.0,10962465.0
Whitefield,2,1346.0,2.0,9082750.0
KG Halli,1,375.0,1.0,2085110.0
Banashankari,2,1020.0,2.0,4261594.166666667
Hosakerehalli,4,3205.0,5.0,34672500.0
Thanisandra,2,1220.0,2.0,6152441.666666668
Yelachenahalli,3,1400.0,2.0,7280645.0
Crimson Layout,2,1250.0,2.0,5940594.285714285
Ramamurthy Nagar,2,1200.0,2.0,6349769.119769119
Kenchenahalli,3,1720.0,3.0,11526731.666666664
Nagavarapalya,2,1134.0,2.0,4719643.333333334
EPIP Zone,2,1330.0,2.0,9040264.0
KR Puram,2,1040.0,2.0,4494941.666666666
Harsha Layout,1,450.0,1.0,1951660.0
Basavangudi,3,2300.0,3.0,21896666.66666667
Kundalahalli,3,1496.0,2.0,7917772.229437227
R.T. Nagar,2,1040.0,2.0,6354308.333333334
Talaghattapura,3,2038.5,3.0,12546000.0
Bellandur,2,1170.0,2.0,4888500.000000001
Whitefield,2,1024.0,2.0,4842610.833333334
Sahakara Nagar,3,2200.0,3.0,16406833.333333332
Yelachenahalli,4,900.0,2.0,10402820.0
Medahalli,3,1065.0,3.0,6746937.5
Ngef Layout,4,2100.0,3.0,13508523.809523812
Electronic City Phase II,2,1069.0,2.0,4054928.845238095
Mahadevpura,2,1058.0,2.0,4666160.0
Banashankari,2,1020.0,2.0,4261594.166666667
Electronics City Phase 1,3,2040.0,3.0,13272083.333333332
1st Phase JP Nagar,2,1566.0,2.0,7731990.0
Bhoganhalli,3,1700.0,3.0,11485378.571428573
6th Phase JP Nagar,2,1170.0,2.0,5590876.666666668
Whitefield,4,2856.0,5.0,20644333.333333336
Kanakapura Road,3,1950.0,3.0,12584420.0
Hebbal,2,1299.0,2.0,10077208.0
Harlur,2,1197.0,2.0,7880210.858585859
Whitefield,2,1074.0,2.0,5579246.153846154
Ananth Nagar,1,500.0,1.0,1530500.0
Sadashiva Nagar,4,3500.0,4.0,36523900.0
Thanisandra,2,1460.0,2.0,7125940.0
Bellandur,2,1410.0,3.0,7641040.0
Indira Nagar,2,1475.0,2.0,13902990.0
Ramanagara Channapatna,4,1200.0,2.0,11405000.0
Upadhyaya Layout,3,1300.0,2.0,5983516.785714285
Rajaji Nagar,4,6500.0,5.0,79305833.33333333
Whitefield,4,2400.0,5.0,22374335.714285713
Haralur Road,2,1027.0,1.0,4905408.694083694
Jai Bheema Nagar,3,1470.0,2.0,8306280.0
Lingadheeranahalli,3,1683.0,3.0,13115651.190476188
Sai Gardens,2,1339.0,2.0,7382110.476190477
Talaghattapura,3,2265.0,3.0,15481091.666666668
Kothanur,3,1435.0,3.0,7286130.0
Nagadevanahalli,2,1090.0,2.0,4351954.833333333
Vishwapriya Layout,2,1235.0,2.0,5589749.545454545
Dodda Nekkundi,2,850.0,2.0,3138475.0
Giri Nagar,1,600.0,1.0,3341355.0
Electronic City Phase II,2,1020.0,2.0,2858629.1904761903
Dasarahalli,2,1220.0,2.0,5526780.0
1st Block Jayanagar,4,2400.0,4.0,27477702.38095238
Uttarahalli,3,1285.0,2.0,5981490.0
Vittal Nagar,2,1000.0,2.0,4907925.0
KR Puram,2,1035.0,2.0,4166076.666666666
Kammasandra,2,810.0,2.0,2948910.0
 Devarachikkanahalli,3,1417.0,2.0,6895566.666666668
Abbigere,8,3000.0,8.0,14676000.0
Hosakerehalli,3,1795.0,3.0,12084166.666666664
Kaggadasapura,2,1132.0,2.0,4758067.333333334
Nallurhalli,2,1100.0,2.0,5267950.0
Raja Rajeshwari Nagar,2,1196.0,2.0,4325601.581279833
Shree Ananth Nagar Layout,2,1154.0,2.0,5001647.333333333
Haralur Road,2,1140.0,2.0,4519454.906204906
5th Stage BEML Layout,3,2000.0,3.0,9270000.0
1st Block HBR Layout,4,3150.0,4.0,25125857.14285714
Electronic City,3,1025.0,2.0,5051920.952380952
Sarjapur  Road,3,1787.0,3.0,12117000.0
Kathriguppe,3,1300.0,3.0,7759029.999999999
Amruthahalli,3,2650.0,4.0,20406083.333333332
Mallappa Layout,3,1500.0,3.0,8534606.666666668
Marathahalli,3,1350.0,2.0,6858194.666666666
Koramangala,3,1745.0,3.0,17493883.333333332
Yeshwanthpur,2,1277.5,2.0,6090693.333333332
Vittasandra,2,1246.0,2.0,6637257.9162901165
"Off Sarjapur Road, ",3,1518.0,3.0,8374337.5
Sarjapur  Road,3,1819.0,3.0,11140000.0
KR Puram,2,1150.0,2.0,5009574.583333334
Jalahalli,1,612.5,1.0,4483500.0
Raja Rajeshwari Nagar,2,1240.0,2.0,5060540.0
Brookefield,4,3532.0,3.0,25742066.666666664
Cooke Town,3,1850.0,3.0,12893357.142857142
Panathur,2,1125.0,2.0,5206269.285714286
Somasundara Palya,3,1575.0,3.0,9162873.80952381
Electronic City,2,1070.0,2.0,5648602.861860361
Shanti Nagar,2,420.0,1.0,2092053.3333333335
Jigani,2,914.0,2.0,4976936.571761573
Kathriguppe,3,1335.0,2.0,7081484.666666666
Mysore Road,2,1170.0,2.0,6061066.666666668
Horamavu Agara,3,1453.0,2.0,8192898.333333332
Kanakpura Road,2,700.0,2.0,4029279.365079365
Yeshwanthpur,4,1200.0,4.0,15397500.0
Thigalarapalya,2,1418.0,2.0,10324797.113997117
Hebbal,3,3500.0,3.0,28850500.0
Sarjapur,4,3300.0,4.0,29740500.0
Channasandra Layout,5,3100.0,6.0,31333209.523809522
Langford Town,3,912.0,2.0,4118800.952380953
Hormavu,2,1165.0,2.0,5094970.0
Electronic City,3,1350.0,3.0,6930000.0
Hosakerehalli,3,1817.0,4.0,12106370.0
Old Madras Road,3,1350.0,3.0,6755000.0
Thanisandra main road,4,4110.0,4.0,46388428.57142857
Banashankari,3,1770.0,3.0,11394814.821428573
Billekahalli,2,1125.0,2.0,5837296.111111112
Ananth Nagar,1,500.0,1.0,1530500.0
Thubarahalli,3,1242.0,3.0,7044605.0
Avalahalli,2,1053.0,2.0,4752033.75
Domlur,1,640.0,1.0,5797128.333333334
Whitefield,3,1738.0,2.0,9609710.0
 Thanisandra,1,510.0,1.0,2494000.0
Hoodi,2,1225.0,2.0,5071090.0
Hebbal,2,1440.0,2.0,9897916.333333332
Kereguddadahalli,2,800.0,2.0,3411090.0
Ambalipura,3,1800.0,3.0,10355866.666666666
Uttarahalli,3,1265.0,2.0,6419400.0
Lakshmi Layout,9,900.0,10.0,11795000.0
Bommasandra Industrial Area,2,1130.0,2.0,4041166.666666667
Parappana Agrahara,2,1194.0,2.0,4652923.3155990895
Bhagyalakshmi Avenue,1,540.0,1.0,2462046.153846154
Electronic City,2,1020.0,2.0,5362928.69047619
Electronic City,3,1400.0,2.0,7382348.333333334
Thanisandra,2,1110.0,2.0,6696491.19047619
GKW Layout,4,1350.0,4.0,14014000.0
Doddanekundi,3,1760.0,3.0,11813343.571428569
Attibele,2,1000.0,2.0,4799925.0
Kudlu Gate,3,1535.0,3.0,8479154.880952382
Old Madras Road,4,3715.0,6.0,25613000.0
Uttarahalli,2,1200.0,2.0,5552192.857142857
Vidyaranyapura,2,1100.0,2.0,5507000.0
R.T. Nagar,2,1500.0,2.0,16890000.0
Devanahalli Road,3,1532.0,3.0,8162056.25
Basavanapura,7,1800.0,5.0,12846500.0
Kuvempu Nagar,3,1540.0,3.0,7596240.833333334
Abbigere,1,765.0,2.0,3452298.333333334
Whitefield,2,1170.0,2.0,7290190.0
Varthur,3,1665.0,3.0,9092668.095238095
Hennur Busstop,2,1100.0,2.0,5267950.0
Jalahalli East,4,720.0,4.0,8305000.0
Electronic City Phase II,3,1310.0,2.0,5584970.0
Banashankari,2,1260.0,2.0,6975000.0
Whitefield,2,1317.0,2.0,8635166.999999998
Syndicate Bank Colony,3,1200.0,3.0,7086213.785714286
Bellandur,3,1420.0,3.0,8092320.0
Channasandra,6,4200.0,6.0,22167000.0
Chikkabanavar,8,4000.0,7.0,35223000.0
Hosur Road,3,1370.0,3.0,6646730.0
Kengeri,1,400.0,1.0,1631550.0
Yeshwanthpur,2,1195.0,2.0,8627638.57142857
Kachanayakanahalli,2,861.0,2.0,3852757.142857143
Sarjapur  Road,2,1000.0,2.0,6357100.0
Thanisandra,3,1430.0,2.0,7680367.5
7th Phase JP Nagar,2,1050.0,2.0,5978679.523809525
Hebbal,3,1920.0,3.0,13923657.142857144
Uttarahalli,2,1025.0,2.0,3762660.0
Jakkur Plantation,3,1765.0,3.0,10591768.75
Kaggadasapura,3,1350.0,3.0,6599000.0
Roopena Agrahara,2,1200.0,2.0,5273615.714285715
Ardendale,3,1750.0,3.0,10190800.0
Kenchenhalli,3,1786.0,3.0,11342033.333333332
Vasanth nagar,3,3025.0,3.0,24050416.66666667
Sahakara Nagar,3,1100.0,2.0,7003533.333333334
Electronic City Phase II,4,1900.0,3.0,12774750.0
Sarjapur  Road,4,3005.0,5.0,28205500.0
Ramamurthy Nagar,3,3600.0,3.0,26345250.0
BTM Layout,3,1540.0,2.0,7777858.571428571
Electronic City,2,1140.0,2.0,6352130.116213387
Rajaji Nagar,3,2450.0,3.0,39599916.666666664
Kanakpura Road,3,1100.0,2.0,6249476.515151515
Kanakpura Road,3,1100.0,3.0,5916407.5
KR Puram,1,700.0,1.0,3826808.333333333
R.T. Nagar,2,1080.0,2.0,6215433.333333332
Hoysalanagar,3,1325.0,3.0,6716583.333333332
Vidyaranyapura,6,1060.0,6.0,13682833.333333336
Whitefield,3,1897.0,3.0,13988666.666666668
Hennur Road,2,1385.0,2.0,7544850.0
Srirampura,7,1875.0,5.0,14840500.0
Baba Nagar,2,700.0,2.0,3715674.0476190476
Vijayanagar,3,1826.0,3.0,11797750.0
Jakkur,3,1785.0,3.0,11560033.333333336
Kalasipalya,7,1875.0,2.0,14017650.0
Lavelle Road,3,2500.0,3.0,16839000.0
Kengeri,1,500.0,1.0,1966806.6666666665
Yelenahalli,3,1600.0,3.0,8661833.333333334
Babusapalaya,2,1100.0,2.0,4979150.0
Kasavanhalli,2,1121.0,2.0,5541790.0
Singapura Village,4,2230.0,4.0,16976400.0
Mahadevpura,2,1050.0,2.0,4712623.75
Haralur Road,4,3700.0,4.0,31662000.0
Kengeri,2,927.0,2.0,4254433.095238095
Raja Rajeshwari Nagar,3,1280.0,3.0,5674040.0
Electronics City Phase 1,2,1300.0,2.0,6088656.666666666
Jalahalli West,2,782.0,2.0,3808200.0
Whitefield,4,4800.0,5.0,52776666.66666667
Marathahalli,2,1019.0,2.0,5052003.333333333
Hosur Road,2,1180.0,2.0,5395810.0
Koramangala,2,1180.0,2.0,7099140.0
Vignana Nagar,5,800.0,4.0,9259000.0
Ashirvad Colony,2,1100.0,2.0,5267950.0
Raja Rajeshwari Nagar,3,1260.0,2.0,6703555.555555555
Choodasandra,2,1140.0,2.0,4743774.507326008
Carmelaram,3,1732.5,3.0,11040754.857142858
Kudlu,3,1245.0,2.0,6586410.973084886
Budigere,3,1820.0,3.0,9667291.666666668
"Off Sarjapur road, ",4,3000.0,4.0,25131000.0
Kundalahalli,3,1724.0,3.0,13411457.900432903
Koramangala,2,1260.0,2.0,10333333.333333334
Electronic City,2,1110.0,2.0,6381671.011904763
Uttarahalli,2,1125.0,2.0,4754357.7976190485
Tata Nagar,2,1364.0,2.0,7311780.0
KR Garden,2,925.0,2.0,4298229.047619048
Yeshwanthpur,3,1676.0,3.0,9517543.333333334
manyata park,3,1780.0,3.0,10555163.333333334
Kudlu Gate,3,1850.0,3.0,12004916.666666664
HSR Layout,2,1185.0,2.0,5104306.285714285
Gulimangala,3,1690.0,3.0,9757357.5
Talaghattapura,2,1100.0,2.0,3613440.0
6th Phase JP Nagar,3,1250.0,3.0,4191959.9999999995
Banjara Layout,3,600.0,3.0,7334333.333333334
VGP Layout,2,1176.0,2.0,5293063.333333333
Kenchenahalli,1,715.0,1.0,3228929.1428571427
Sarjapur,4,2970.0,3.0,22809000.0
Huskur,2,1125.0,2.0,4066765.0
Thigalarapalya,3,2215.0,4.0,16039642.857142856
Hosa Road,3,1318.0,2.0,7065284.285714285
Marathahalli,4,3400.0,4.0,24474749.999999996
Banashankari Stage III,3,1350.0,2.0,7458948.0
Old Airport Road,2,1055.0,2.0,4913123.75
Rajaji Nagar,4,3730.0,4.0,47091350.0
Ejipura,7,1800.0,7.0,12733500.0
9th Phase JP Nagar,4,3500.0,4.0,27583900.0
Electronic City,3,1360.0,2.0,6838982.166666666
9th Phase JP Nagar,3,1240.0,2.0,6542310.0
Kasavanhalli,3,1980.0,3.0,13852500.0
Byadarahalli,3,3071.0,4.0,33029700.0
Kanakpura Road,3,1610.0,3.0,9326950.0
Cleveland Town,2,1100.0,2.0,5267950.0
Yelahanka,2,890.0,2.0,4117484.583333333
Badavala Nagar,3,1842.0,3.0,11474000.0
Hormavu,2,1050.0,2.0,4721818.75
1st Block HRBR Layout,3,600.0,3.0,10710400.0
Peenya,3,1286.0,3.0,5429960.0
Doddakannelli,3,1475.0,3.0,7932140.0
Sarjapur  Road,2,1200.0,2.0,9135000.0
Ramagondanahalli,3,1910.0,3.0,13712716.66666667
Electronic City,2,1200.0,2.0,5511472.857142857
Banashankari,2,1181.0,2.0,5880140.0
Kanakpura Road,2,1207.0,2.0,6860690.0
Kothanur,2,1185.0,2.0,5800896.666666668
Kudlu Gate,1,1400.0,1.0,7093133.333333334
Arekere,2,1222.0,2.0,5671250.0
Devanahalli,2,1260.0,2.0,6162285.0
Kudlu Gate,3,1532.0,3.0,8269104.523809525
Dinnur,3,1700.0,3.0,11226211.904761905
Kudlu,2,1300.0,2.0,6398656.666666666
Domlur Layout,3,2000.0,3.0,10220000.0
Marathahalli,3,1950.0,3.0,13896586.666666664
Palace Road,3,1480.0,2.0,7880553.837662338
KR Puram,2,734.0,2.0,3436790.7142857146
Attibele,1,400.0,1.0,1167672.2222222225
Maruthi Nagar,10,3300.0,9.0,25513000.0
Whitefield,2,1192.0,2.0,6887144.411764706
Hennur Road,2,1157.0,2.0,6359670.0
Yelahanka,2,1115.0,2.0,5493470.0
Panduranga Nagar,1,500.0,1.0,1982556.6666666665
Kanakpura Road,3,1425.0,2.0,7286170.0
Sarjapur  Road,2,1346.0,2.0,7403000.0
Banaswadi,6,1000.0,4.0,11894833.333333336
Mahadevpura,2,1475.0,2.0,8019200.0
Tumkur Road,2,708.0,2.0,3470355.833333333
Kothnur Narayanapura,2,1290.0,1.0,9437563.333333334
Bannerghatta Road,2,1000.0,2.0,4968666.666666666
Hosa Road,2,1170.0,2.0,4901893.333333334
Kalena Agrahara,2,1187.0,2.0,5993896.666666668
Sarjapur  Road,3,1428.0,2.0,7975860.0
Kaggadasapura,3,1495.0,3.0,8255550.0
Rachenahalli,2,1050.0,2.0,5234091.547085654
Electronic City Phase II,3,1400.0,2.0,6906805.0
Yelahanka,4,2912.5,6.0,22918500.0
Budigere,2,1153.0,2.0,5872906.666666666
Hennur Road,2,1232.0,2.0,7699678.278049827
Raja Rajeshwari Nagar,3,1529.0,3.0,7278476.666666666
Electronics City Phase 1,2,1145.0,2.0,5626577.698412699
Shivaji Nagar,3,1460.0,2.0,8098050.0
Sarjapur,2,1175.0,2.0,4897993.333333333
Electronic City,2,1140.0,2.0,6352130.116213387
Electronics City Phase 1,2,950.0,2.0,6340956.666666666
5th Phase JP Nagar,2,1207.0,2.0,6711230.0
Electronics City Phase 1,2,1015.0,2.0,7320243.333333332
R.T. Nagar,4,1800.0,3.0,13763500.0
"Banashankari 6th stage , 2nd block",3,600.0,4.0,7658333.333333332
Marathahalli,2,1350.0,2.0,7664647.142857143
Bommasandra,3,1200.0,3.0,9260151.285714285
Electronics City Phase 1,3,1750.0,3.0,11580283.333333332
Battarahalli,3,2082.0,3.0,13061443.333333336
Kalena Agrahara,2,800.0,2.0,3349090.0
Vijayanagar,3,1704.0,3.0,11817761.904761905
Electronics City Phase 1,2,1113.27,2.0,5830945.0
Whitefield,3,1635.0,2.0,10245915.0
Kathriguppe,2,754.0,2.0,3742840.9841269846
Rayasandra,2,1253.0,2.0,6146023.666666666
JP Nagar,2,1107.0,2.0,4365096.666666667
Kengeri,3,1200.0,3.0,7250067.000000001
Hennur,3,1655.0,2.0,10403140.0
Uttarahalli,2,1075.0,2.0,4333565.904761904
Richmond Town,2,1233.0,2.0,5559572.018287268
Whitefield,4,5924.0,4.0,59738833.33333333
Electronic City,1,418.0,1.0,1869670.0
Uttarahalli,7,1200.0,7.0,25011000.0
Hebbal,4,2470.0,5.0,21275558.333333332
EPIP Zone,3,1860.0,3.0,12174583.333333332
Bannerghatta Road,3,1344.0,2.0,6158388.0
Kengeri,2,1052.0,2.0,4759853.75
Marathahalli,4,4000.0,4.0,54967095.23809524
Jai Bheema Nagar,2,1339.0,2.0,7382110.476190477
Pai Layout,2,1150.0,2.0,5010267.916666667
B Y Raveshwara Nagar,4,1200.0,2.0,11405000.0
Sector 6 HSR Layout,3,3800.0,3.0,27663750.0
Varthur,2,986.0,2.0,4645226.666666667
Whitefield,3,1500.0,3.0,15445415.801587302
Bommanahalli,2,1350.0,2.0,7585763.333333334
Motappa Layout,2,1113.0,2.0,5027430.0
Whitefield,2,1300.0,2.0,8485316.19047619
Whitefield,4,2500.0,4.0,18264000.0
Thanisandra,3,1917.0,4.0,11828666.666666668
Old Madras Road,5,4500.0,7.0,44277666.66666666
Bisuvanahalli,3,1080.0,2.0,5095447.277722279
Sadashiva Nagar,5,9600.0,7.0,120050000.0
Jigani,3,1221.0,3.0,7140190.0
Ejipura,3,2070.0,3.0,12769250.0
BHEL Layout,6,2400.0,4.0,20282000.0
Ramagondanahalli,5,9600.0,6.0,90310000.0
Raghuvanahalli,1,425.0,1.0,2186760.0
Jalahalli East,2,1010.0,2.0,5170175.571428572
Vijaya Bank Layout,5,2400.0,5.0,14091000.0
Somasundara Palya,2,1448.0,2.0,8137800.0
Channasandra,3,1800.0,3.0,10355866.666666666
Hosa Road,2,1079.0,2.0,3434415.166666666
Kengeri,2,963.0,2.0,4776383.333333333
Whitefield,2,1187.0,2.0,7057230.000000001
Gollahalli,3,1325.0,2.0,5654327.619047619
Balagere,2,1380.0,2.0,8096300.0
Vishwanatha Nagenahalli,2,1050.0,2.0,4704623.75
Chikka Banaswadi,3,1555.0,3.0,7983260.0
Hosa Road,3,1332.0,2.0,6444183.333333334
Bisuvanahalli,3,1075.0,2.0,4983446.887391933
Karuna Nagar,3,2500.0,3.0,16839000.0
Indira Nagar,1,850.0,1.0,5274520.0
Ananth Nagar,2,1000.0,2.0,2879000.0
Singasandra,3,1440.0,2.0,7756347.166666666
Thanisandra,2,1098.0,2.0,7207534.523809525
Sarjapur  Road,4,3785.0,5.0,30409833.33333333
Harlur,2,1200.0,2.0,7456651.118326118
Whitefield,3,2280.0,4.0,17736033.333333336
Lakshminarayana Pura,2,1200.0,2.0,7593785.714285714
Sarjapur  Road,3,1350.0,3.0,6831000.0
Banashankari Stage V,3,1510.0,3.0,5341170.0
Gottigere,3,1400.0,2.0,8211290.0
GD Layout,2,1094.0,2.0,4216700.0
Padmanabhanagar,2,1100.0,2.0,5768950.0
Thanisandra,5,750.0,4.0,9030000.0
KR Puram,5,3300.0,3.0,28129666.666666664
Hormavu,1,715.0,1.0,4314156.666666666
Rajaji Nagar,6,1800.0,4.0,17225000.0
Gottigere,3,1385.0,2.0,8402531.785714285
Ramamurthy Nagar,2,1150.0,2.0,5086467.916666667
Horamavu Agara,3,1176.0,2.0,5355395.0
Kaverappa Layout,3,1540.0,3.0,7596240.833333334
D Group Employees Layout,4,1200.0,4.0,11855000.0
HAL 2nd Stage,3,2700.0,3.0,46711285.71428572
Kodigehaali,3,1320.0,3.0,6663250.0
EPIP Zone,4,3800.0,5.0,29579000.0
Marsur,3,1200.0,3.0,10079390.0
Kanakpura Road,2,1470.0,2.0,8317770.0
Hoodi,4,2065.5,4.0,13925702.262116969
Babusapalaya,2,1061.0,2.0,3916930.0
Vajarahalli,5,600.0,3.0,8452333.333333332
Marathahalli,3,1315.0,2.0,6271094.285714285
Udaya Nagar,2,1225.0,2.0,4951975.0
Chennammana Kere,3,1480.0,3.0,8153490.0
Thanisandra,1,777.0,1.0,3967130.0
Haralur Road,4,3400.0,5.0,26746000.0
Uttarahalli,2,1123.0,2.0,4768164.543650794
Whitefield,2,1295.0,2.0,8551326.666666666
D Group Employees Layout,5,4400.0,5.0,37190833.33333333
Neeladri Nagar,1,640.0,1.0,3654694.666666667
TC Palaya,5,1440.0,5.0,10731000.0
Uttarahalli,3,1788.0,3.0,11202666.666666668
Malleshwaram,4,6500.0,4.0,121572333.33333334
Hormavu,2,1046.0,2.0,4830440.0
1st Phase JP Nagar,2,1394.0,2.0,7265355.0
Akshaya Nagar,3,1893.0,4.0,10112000.0
Seegehalli,2,1176.0,2.0,5533343.333333332
Kumaraswami Layout,7,3100.0,7.0,24706000.0
Thanisandra,3,1200.0,2.0,6448669.444444445
Seshadripuram,2,600.0,3.0,6332500.0
Kodigehalli,8,1150.0,9.0,13224000.0
Uttarahalli,3,1617.0,3.0,8965345.0
Bellandur,3,2400.0,3.0,17602000.0
Bellandur,3,1535.0,3.0,8348004.583333332
12th cross srinivas nagar banshankari 3rd stage,1,1800.0,1.0,15022420.0
Hormavu,2,1210.0,2.0,5298323.333333333
Rajaji Nagar,2,1200.0,1.0,10882606.666666668
Kalkere,2,925.0,2.0,4635364.971139971
Hebbal,3,1636.0,3.0,10889068.80952381
Dodda Banaswadi,3,1500.0,3.0,8534606.666666668
Hoodi,3,1660.0,3.0,12285853.333333336
Whitefield,2,1216.0,2.0,7686999.553863486
Kengeri Satellite Town,3,1415.0,2.0,7223566.666666668
Bommanahalli,2,1050.0,2.0,5027490.0
Thirumenahalli,2,1100.0,2.0,4353130.0
Whitefield,2,1216.0,2.0,7686999.553863486
Sarjapur,4,2585.5,4.0,18980833.333333336
Thigalarapalya,2,1418.0,2.0,10324797.113997117
Doddakallasandra,3,2493.0,3.0,13290000.0
Haralur Road,2,1300.0,2.0,7002928.571428572
Gollahalli,2,1060.0,2.0,4816090.0
Dasanapura,2,708.0,1.0,3337477.9880952383
Sarjapur  Road,2,1320.0,2.0,8121483.333333332
Sarjapur  Road,3,1685.0,3.0,12471095.23809524
Manjunatha Layout,2,1200.0,2.0,5297615.714285715
Electronic City,2,1070.0,2.0,5648602.861860361
Rajaji Nagar,3,1640.0,3.0,24429915.079365086
Banashankari,3,600.0,3.0,7541773.333333332
Hosakerehalli,9,1380.0,9.0,16807500.0
Electronic City,2,1128.0,2.0,6537683.653592417
Hosur Road,5,3300.0,5.0,29101500.0
Electronic City,2,1150.0,2.0,6376728.603896107
Yarandahalli,3,1350.0,2.0,6853194.666666666
Harlur,2,936.0,2.0,4315479.571428571
Tumkur Road,3,1354.0,3.0,8023700.0
Uttarahalli,3,1540.0,3.0,7379638.333333334
Kamakshipalya,2,1150.0,2.0,5527461.666666668
Babusapalaya,2,1141.0,2.0,4738364.666666666
Kuvempu Layout,3,2200.0,4.0,15774000.0
Kanakpura Road,3,1452.0,3.0,7269792.333333332
HSR Layout,2,1140.0,2.0,4619000.0
Bellandur,2,1457.0,2.0,8151700.0
Xavier Layout,3,1524.0,4.0,11722520.0
9th Phase JP Nagar,2,1127.0,2.0,5528333.67965368
JCR Layout,2,1160.0,2.0,4337023.333333334
Begur Road,2,1160.0,2.0,4013769.7210742487
Mahalakshmi Layout,4,1050.0,1.0,9880678.57142857
Yelahanka New Town,1,284.0,1.0,1958860.0
"JP nagar 9th Phase, ",3,1531.0,3.0,8075131.25
CV Raman Nagar,2,1025.0,2.0,4470978.055555556
Nagondanahalli,2,1095.0,2.0,4251340.0
Talaghattapura,2,1062.0,2.0,3920246.666666667
Whitefield,3,3150.0,3.0,24936666.666666664
Chennammana Kere,2,1100.0,2.0,5344080.0
Binny Pete,1,665.0,1.0,4932493.333333332
Raja Rajeshwari Nagar,2,1608.0,2.0,8898526.666666666
Kammagondahalli,2,1263.0,2.0,5784615.0
Battarahalli,2,1200.0,2.0,5297615.714285715
Jaraganahalli Jp Nagar Post,4,600.0,4.0,7469333.333333332
Vidyaranyapura,4,600.0,3.0,7290916.666666668
Malleshwaram,5,7500.0,7.0,134713000.0
Whitefield,2,1276.0,2.0,8015690.476190477
Ananth Nagar,3,1319.0,3.0,6424833.333333334
KR Garden,3,1700.0,3.0,11226211.904761905
Chandapura,3,1190.0,2.0,5220732.378740969
GM Palaya,2,1030.0,2.0,4496121.666666666
Whitefield,2,1205.0,2.0,7186336.463100749
Hennur Road,2,1140.0,2.0,4857434.507326008
Sarjapur,3,1445.0,3.0,6425262.666666668
Thanisandra,1,693.0,1.0,3776727.8888888895
Singapura Village,4,600.0,5.0,7357500.0
HSR Layout,2,1140.0,2.0,4619000.0
Jnanabharathi Layout,4,2400.0,3.0,16312750.0
Ulsoor,3,2700.0,3.0,20051785.714285716
Varsova Layout,3,1280.0,2.0,5929543.333333332
Haralur Road,3,1830.0,3.0,10500941.5
Nagashetty Halli,2,840.0,1.0,3490276.9841269837
Hosa Road,3,1532.0,3.0,9836455.0
Kengeri Satellite Town,3,1191.0,2.0,5550482.378740969
Amruthahalli,3,1700.0,3.0,11226211.904761905
Bellandur,2,924.0,2.0,3625240.0
JP Nagar,3,1850.0,2.0,10489610.0
Panathur,2,1000.0,2.0,4487000.0
Electronic City,2,1128.0,2.0,6537683.653592417
Binny Pete,3,1282.0,3.0,13206625.0
BTM 2nd Stage,2,950.0,2.0,5236558.333333334
